ID	DOCULECT	CONCEPT	IPA	SEGMENTS	ALIGNMENT	COGID
3325	Naze	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3326	Ohama	SUGAR_MORPHEME1	s a t t aː	s a t t aː	s a t t aː	86
3327	Ongachi	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3328	Ou	SUGAR_MORPHEME1	s aː t aː	s aː t aː	s aː - t aː	86
3329	Oura	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3330	Ritchou	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3331	San	SUGAR_MORPHEME1	s aː t a	s aː t a	s aː - t a	86
3332	Sani	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3333	Sena	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3334	Serikaku	SUGAR_MORPHEME1	s a t t a	s a t t a	s a t t a	86
3335	Shiomichi	SUGAR_MORPHEME1	s a t aː	s a t aː	s a - t aː	86
3336	Shitooke	SUGAR_MORPHEME1	s a t aː	s a t aː	s a - t aː	86
3337	Shuri	SUGAR_MORPHEME1	s aː t aː	s aː t aː	s aː - t aː	86
3338	Sonai	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3339	Taketomi	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3340	Tarama	SUGAR_MORPHEME1	ʃ a t a	ʃ a t a	ʃ a - t a	86
3341	Tatsugo	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3342	Uechi	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3343	Uegusuku	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3344	Wadomari	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3345	Wan	SUGAR_MORPHEME1	s a t aː	s a t aː	s a - t aː	86
3346	Yadon	SUGAR_MORPHEME1	s ɨ t a	s ɨ t a	s ɨ - t a	86
3347	Yonaguni	SUGAR_MORPHEME1	s a t a	s a t a	s a - t a	86
3348	Yoro	SUGAR_MORPHEME1	s ɨ t a	s ɨ t a	s ɨ - t a	86
3349	Yuwan	SUGAR_MORPHEME1	s a t aː	s a t aː	s a - t aː	86
3350	Chabana	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3351	Hateruma	TEAR_MORPHEME1	n a n d a	n a n d a	n a n - d a	87
3352	Hentona	TEAR_MORPHEME1	n a r a	n a r a	n a r - - a	87
3353	Hirara	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3354	Ie	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3355	Iheya	TEAR_MORPHEME1	n a r aː	n a r aː	n a r - - aː	87
3356	Ikema	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3357	Isen	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3358	Ishigaki	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3359	Ishikawa	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3360	Itoman	TEAR_MORPHEME1	n a r a	n a r a	n a r - - a	87
3361	Izena	TEAR_MORPHEME1	n a d aː	n a d aː	n a - - d aː	87
3362	Kagoshima	TEAR_MORPHEME1	n a n d a	n a n d a	n a n - d a	87
3363	Kametsu	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3364	Koniya	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3365	Kudaka	TEAR_MORPHEME1	n a r a	n a r a	n a r - - a	87
3366	Kuji-Oohama	TEAR_MORPHEME1	n a d aː	n a d aː	n a - - d aː	87
3367	Kuroshima	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3368	Kushi	TEAR_MORPHEME1	n ɨ d a	n ɨ d a	n ɨ - - d a	87
3369	Kyoto	TEAR_MORPHEME1	n a m i d a	n a m i d a	n a m i d a	87
3370	Matsubara	TEAR_MORPHEME1	n a d aː	n a d aː	n a - - d aː	87
3371	Mugiya	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3372	Nago	TEAR_MORPHEME1	n a d aː	n a d aː	n a - - d aː	87
3373	Naze	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3374	Ohama	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3375	Ongachi	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3376	Ou	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3377	Oura	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3378	Ritchou	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3379	Sakimotobu	TEAR_MORPHEME1	n a r aː	n a r aː	n a r - - aː	87
3380	Sani	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3381	Sena	TEAR_MORPHEME1	n aː d a	n aː d a	n aː - - d a	87
3382	Serikaku	TEAR_MORPHEME1	n aː d aː	n aː d aː	n aː - - d aː	87
3383	Shiomichi	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3384	Shitooke	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3385	Shuri	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3386	Sonai	TEAR_MORPHEME1	n aː d a	n aː d a	n aː - - d a	87
3387	Taketomi	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3388	Tarama	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3389	Tatsugo	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3390	Uechi	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3391	Uegusuku	TEAR_MORPHEME1	n aː d aː	n aː d aː	n aː - - d aː	87
3392	Wadomari	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3393	Wan	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3394	Yadon	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3395	Yonaguni	TEAR_MORPHEME1	n u d a	n u d a	n u - - d a	87
3396	Yoro	TEAR_MORPHEME1	n a d a	n a d a	n a - - d a	87
3397	Yuwan	TEAR_MORPHEME1	n a d aː	n a d aː	n a - - d aː	87
3398	Chabana	THROW_MORPHEME1	n a ɡ j	n a ɡ j	n a - ɡ - j	88
3399	Hateruma	THROW_MORPHEME1	n a ŋ ɡ i	n a ŋ ɡ i	n a ŋ ɡ i -	88
3400	Hentona	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3401	Hirara	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3402	Ie	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3403	Iheya	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3404	Ikema	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3405	Isen	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3406	Ishigaki	THROW_MORPHEME1	n a ŋ ɡ i	n a ŋ ɡ i	n a ŋ ɡ i -	88
3407	Ishigaki	THROW_MORPHEME1	n a ŋ ɡ i	n a ŋ ɡ i	n a ŋ ɡ i -	88
3408	Ishikawa	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3409	Itoman	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3410	Izena	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3411	Kagoshima	THROW_MORPHEME1	n a ɡ u	n a ɡ u	n a - ɡ u -	88
3412	Kametsu	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3413	Koniya	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3414	Kudaka	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3415	Kuji-Oohama	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3416	Kushi	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3417	Kyoto	THROW_MORPHEME1	n a ŋ e	n a ŋ e	n a ŋ - e -	88
3418	Matsubara	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3419	Nago	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3420	Naze	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3421	Ohama	THROW_MORPHEME1	n a ŋ ɡ i	n a ŋ ɡ i	n a ŋ ɡ i -	88
3422	Ongachi	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3423	Ou	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3424	Sakimotobu	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3425	San	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3426	Sani	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3427	Serikaku	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3428	Shitooke	THROW_MORPHEME1	n a ŋ ɨ	n a ŋ ɨ	n a ŋ - ɨ -	88
3429	Shuri	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3430	Sonai	THROW_MORPHEME1	n a ŋ ɡ i	n a ŋ ɡ i	n a ŋ ɡ i -	88
3431	Tatsugo	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3432	Uechi	THROW_MORPHEME1	n a ɡ i	n a ɡ i	n a - ɡ i -	88
3433	Yadon	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3434	Yonaguni	THROW_MORPHEME1	n a ŋ i	n a ŋ i	n a ŋ - i -	88
3435	Yoro	THROW_MORPHEME1	n a ɡ ɘ	n a ɡ ɘ	n a - ɡ ɘ -	88
3436	Yuwan	THROW_MORPHEME1	n a ɡ ɨ	n a ɡ ɨ	n a - ɡ ɨ -	88
3437	Chabana	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3438	Hateruma	TOOL_MORPHEME1	d a ɡ u	d a ɡ u	d a - - ɡ u -	89
3439	Hateruma	TOOL_MORPHEME1	d aː ɡ u	d aː ɡ u	d aː - - ɡ u -	89
3440	Hentona	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3441	Hirara	TOOL_MORPHEME1	d oː v	d oː v	d oː - - - - v	89
3442	Ie	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3443	Iheya	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3444	Ikema	TOOL_MORPHEME1	d a u	d a u	d a - - - u -	89
3445	Ikema	TOOL_MORPHEME1	d a u ɡ u	d a u ɡ u	d a - u ɡ u -	89
3446	Isen	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3447	Ishigaki	TOOL_MORPHEME1	d oː ŋ ɡ u	d oː ŋ ɡ u	d oː ŋ - ɡ u -	89
3448	Ishigaki	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3449	Ishikawa	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3450	Itoman	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3451	Izena	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3452	Kagoshima	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3453	Kametsu	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3454	Koniya	TOOL_MORPHEME1	d o k	d o k	d o - - - - k	89
3455	Koniya	TOOL_MORPHEME1	d oˑ k	d oˑ k	d oˑ - - - - k	89
3456	Kudaka	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3457	Kuji-Oohama	TOOL_MORPHEME1	d o k	d o k	d o - - - - k	89
3458	Kuroshima	TOOL_MORPHEME1	d a ŋ ɡ u	d a ŋ ɡ u	d a ŋ - ɡ u -	89
3459	Kushi	TOOL_MORPHEME1	d o ɡ u	d o ɡ u	d o - - ɡ u -	89
3460	Kyoto	TOOL_MORPHEME1	d oː ŋ u	d oː ŋ u	d oː ŋ - - u -	89
3461	Matsubara	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3462	Nago	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3463	Naze	TOOL_MORPHEME1	d o ɡ u	d o ɡ u	d o - - ɡ u -	89
3464	Naze	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3465	Ohama	TOOL_MORPHEME1	d uː ɡ u	d uː ɡ u	d uː - - ɡ u -	89
3466	Ongachi	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3467	Ou	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3468	Oura	TOOL_MORPHEME1	d oː v	d oː v	d oː - - - - v	89
3469	Sakimotobu	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3470	San	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3471	Sani	TOOL_MORPHEME1	d o ɡ u	d o ɡ u	d o - - ɡ u -	89
3472	Serikaku	TOOL_MORPHEME1	d oː ɡ uː	d oː ɡ uː	d oː - - ɡ uː -	89
3473	Shitooke	TOOL_MORPHEME1	d oː ŋ u	d oː ŋ u	d oː ŋ - - u -	89
3474	Shuri	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3475	Sonai	TOOL_MORPHEME1	d u ŋ ɡ u	d u ŋ ɡ u	d u ŋ - ɡ u -	89
3476	Taketomi	TOOL_MORPHEME1	d o ŋ ɡ u	d o ŋ ɡ u	d o ŋ - ɡ u -	89
3477	Tarama	TOOL_MORPHEME1	d a uː	d a uː	d a - - - uː -	89
3478	Tatsugo	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3479	Uechi	TOOL_MORPHEME1	d o a ɡ u	d o a ɡ u	d o - a ɡ u -	89
3480	Yadon	TOOL_MORPHEME1	d oː k	d oː k	d oː - - - - k	89
3481	Yonaguni	TOOL_MORPHEME1	d u ŋ u	d u ŋ u	d u ŋ - - u -	89
3482	Yoro	TOOL_MORPHEME1	d o k	d o k	d o - - - - k	89
3483	Yuwan	TOOL_MORPHEME1	d oː ɡ u	d oː ɡ u	d oː - - ɡ u -	89
3484	Ikema	TREE_MORPHEME1	k iː n u	k iː n u	k iː n u	90
3485	Kagoshima	TREE_MORPHEME1	k i n o	k i n o	k i n o	90
3486	Ohama	TREE_MORPHEME1	k iː n u	k iː n u	k iː n u	90
3487	Shuri	TREE_MORPHEME1	k iː n u	k iː n u	k iː n u	90
3488	Chabana	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3489	Hateruma	VASE_MORPHEME1	s u p u	s u p u	s u p u	91
3490	Hateruma	VASE_MORPHEME1	s ɨ p u	s ɨ p u	s ɨ p u	91
3491	Hentona	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3492	Hirara	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3493	Ie	VASE_MORPHEME1	s i b u	s i b u	s i b u	91
3494	Iheya	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3495	Ikema	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3496	Isen	VASE_MORPHEME1	ʦˀ ɨ b u	ʦˀ ɨ b u	ʦˀ ɨ b u	91
3497	Ishigaki	VASE_MORPHEME1	ʦ u b u	ʦ u b u	ʦ u b u	91
3498	Ishikawa	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3499	Itoman	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3500	Izena	VASE_MORPHEME1	ʧˀ i b uː	ʧˀ i b uː	ʧˀ i b uː	91
3501	Kagoshima	VASE_MORPHEME1	ʦ u b o	ʦ u b o	ʦ u b o	91
3502	Kametsu	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3503	Kametsu	VASE_MORPHEME1	ʦˀ ɨ b u	ʦˀ ɨ b u	ʦˀ ɨ b u	91
3504	Keraji	VASE_MORPHEME1	tˀ u b u	tˀ u b u	tˀ u b u	91
3505	Koniya	VASE_MORPHEME1	tˀ ɨ b u	tˀ ɨ b u	tˀ ɨ b u	91
3506	Koniya	VASE_MORPHEME1	tˀ ɨ p	tˀ ɨ p	tˀ ɨ p -	91
3507	Kudaka	VASE_MORPHEME1	tˀ i b u	tˀ i b u	tˀ i b u	91
3508	Kuji-Oohama	VASE_MORPHEME1	tˀ ɨ p	tˀ ɨ p	tˀ ɨ p -	91
3509	Kuroshima	VASE_MORPHEME1	ʦ u b u	ʦ u b u	ʦ u b u	91
3510	Kyoto	VASE_MORPHEME1	ʦ u b o	ʦ u b o	ʦ u b o	91
3511	Matsubara	VASE_MORPHEME1	ʧˀ i b uː	ʧˀ i b uː	ʧˀ i b uː	91
3512	Nago	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3513	Naze	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3514	Ohama	VASE_MORPHEME1	ʦ u b u	ʦ u b u	ʦ u b u	91
3515	Ongachi	VASE_MORPHEME1	ʦˀ ɨ b u	ʦˀ ɨ b u	ʦˀ ɨ b u	91
3516	Ou	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3517	Oura	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3518	Ritchou	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3519	Sakimotobu	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3520	Sani	VASE_MORPHEME1	ʦˀ ɨ b u	ʦˀ ɨ b u	ʦˀ ɨ b u	91
3521	Serikaku	VASE_MORPHEME1	ʧ i b uː	ʧ i b uː	ʧ i b uː	91
3522	Shiomichi	VASE_MORPHEME1	tˀ u b u	tˀ u b u	tˀ u b u	91
3523	Shitooke	VASE_MORPHEME1	ʦˀ u b u	ʦˀ u b u	ʦˀ u b u	91
3524	Shuri	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3525	Sonai	VASE_MORPHEME1	ʧ i p u	ʧ i p u	ʧ i p u	91
3526	Taketomi	VASE_MORPHEME1	s u b a	s u b a	s u b a	91
3527	Tarama	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3528	Tatsugo	VASE_MORPHEME1	ʦˀ ɨ b o	ʦˀ ɨ b o	ʦˀ ɨ b o	91
3529	Uechi	VASE_MORPHEME1	ʦ ɨ b u	ʦ ɨ b u	ʦ ɨ b u	91
3530	Uegusuku	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3531	Wadomari	VASE_MORPHEME1	ʧ i b u	ʧ i b u	ʧ i b u	91
3532	Wan	VASE_MORPHEME1	tˀ u b u	tˀ u b u	tˀ u b u	91
3533	Yadon	VASE_MORPHEME1	tˀ ɨ b u	tˀ ɨ b u	tˀ ɨ b u	91
3534	Yonaguni	VASE_MORPHEME1	ʧˀ i b u	ʧˀ i b u	ʧˀ i b u	91
3535	Yoro	VASE_MORPHEME1	tˀ u b u	tˀ u b u	tˀ u b u	91
3536	Yuwan	VASE_MORPHEME1	ʦˀ u b u	ʦˀ u b u	ʦˀ u b u	91
3537	Chabana	VERB_MORPHEME	j u ɴ	j u ɴ	- - - - - - - j u ɴ	92
3538	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3539	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3540	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3541	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3542	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3543	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3544	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3545	Chabana	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3546	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3547	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3548	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3549	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3550	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3551	Hateruma	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
3552	Hateruma	VERB_MORPHEME	t a k o r i r u ɴ	t a k o r i r u ɴ	t a k o r i r - u ɴ	92
3553	Hateruma	VERB_MORPHEME	t o k o r i r u ɴ	t o k o r i r u ɴ	t o k o r i r - u ɴ	92
3554	Hateruma	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3555	Hateruma	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3556	Hateruma	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3557	Hateruma	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3558	Hateruma	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3559	Hateruma	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3560	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3561	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3562	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3563	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3564	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3565	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3566	Hentona	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3567	Hentona	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3568	Hentona	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3569	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3570	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3571	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3572	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3573	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3574	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3575	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3576	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3577	Hirara	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3578	Ie	VERB_MORPHEME	j u ɴ	j u ɴ	- - - - - - - j u ɴ	92
3579	Ie	VERB_MORPHEME	j u ɴ	j u ɴ	- - - - - - - j u ɴ	92
3580	Ie	VERB_MORPHEME	j u ɴ	j u ɴ	- - - - - - - j u ɴ	92
3581	Ie	VERB_MORPHEME	j u ɴ	j u ɴ	- - - - - - - j u ɴ	92
3582	Ie	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3583	Ie	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3584	Ie	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3585	Ie	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3586	Ie	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3587	Iheya	VERB_MORPHEME	i ɴ	i ɴ	- - - - - - - - i ɴ	92
3588	Iheya	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3589	Iheya	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3590	Iheya	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3591	Iheya	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3592	Iheya	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3593	Iheya	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3594	Iheya	VERB_MORPHEME	ɴ	ɴ	- - - - - - - - - ɴ	92
3595	Ikema	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3596	Ikema	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3597	Ikema	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3598	Ikema	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3599	Ikema	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3600	Ikema	VERB_MORPHEME	iː	iː	- - - iː - - - - - -	92
3601	Ikema	VERB_MORPHEME	iː	iː	- - - iː - - - - - -	92
3602	Ikema	VERB_MORPHEME	iː	iː	- - - iː - - - - - -	92
3603	Ikema	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3604	Ikema	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3605	Ikema	VERB_MORPHEME	ɨ	ɨ	- - - ɨ - - - - - -	92
3606	Ikema	VERB_MORPHEME	ʤ iː	ʤ iː	- - ʤ iː - - - - - -	92
3607	Isen	VERB_MORPHEME	i	i	- - - i - - - - - -	92
3608	Isen	VERB_MORPHEME	r j u m	r j u m	- - - - r - - j u m	92
3609	Isen	VERB_MORPHEME	r j u ɴ	r j u ɴ	- - - - r - - j u ɴ	92
3610	Isen	VERB_MORPHEME	r j u ɴ	r j u ɴ	- - - - r - - j u ɴ	92
3611	Isen	VERB_MORPHEME	r j u ɴ	r j u ɴ	- - - - r - - j u ɴ	92
3612	Isen	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3613	Isen	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3614	Isen	VERB_MORPHEME	u ɴ	u ɴ	- - - - - - - - u ɴ	92
3615	Isen	VERB_MORPHEME	ɡ u r i r j u ɴ	ɡ u r i r j u ɴ	- - ɡ u r i r j u ɴ	92
3616	Ishigaki	VERB_MORPHEME	r u ɴ	r u ɴ	- - - - - - - r u ɴ	92
